AÑO,TITULO,FECHA_ELECCIONES,DISTRITO,SECCION,MESA,PARTIDO,NUM_VOTOS,PORCENTAJE
"2023","Elecciones Generales","23/07/23","1","9","U","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","9","U","PP","288","48,81355932203389830508474576271186440678"
"2023","Elecciones Generales","23/07/23","1","9","U","PACMA","1",",1694915254237288135593220338983050847458"
"2023","Elecciones Generales","23/07/23","1","9","U","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","9","U","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","9","U","VOX","63","10,67796610169491525423728813559322033898"
"2023","Elecciones Generales","23/07/23","1","9","U","PUEDE","1",",1694915254237288135593220338983050847458"
"2023","Elecciones Generales","23/07/23","1","9","U","AEEV","1",",1694915254237288135593220338983050847458"
"2023","Elecciones Generales","23/07/23","1","9","U","RC","2",",3389830508474576271186440677966101694915"
"2023","Elecciones Generales","23/07/23","1","9","U","SUMAR","77","13,05084745762711864406779661016949152542"
"2023","Elecciones Generales","23/07/23","1","10","A","Electores","537","100"
"2023","Elecciones Generales","23/07/23","1","10","A","Abstenciones","126","23,46368715083798882681564245810055865922"
"2023","Elecciones Generales","23/07/23","1","10","A","Votantes","411","76,53631284916201117318435754189944134078"
"2023","Elecciones Generales","23/07/23","1","10","A","Blancos","3",",7299270072992700729927007299270072992701"
"2023","Elecciones Generales","23/07/23","1","10","A","Validos","408","99,27007299270072992700729927007299270073"
"2023","Elecciones Generales","23/07/23","1","10","A","Nulos","3",",7299270072992700729927007299270072992701"
"2023","Elecciones Generales","23/07/23","1","10","A","PSOE","128","31,14355231143552311435523114355231143552"
"2023","Elecciones Generales","23/07/23","1","10","A","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","10","A","PP","143","34,79318734793187347931873479318734793187"
"2023","Elecciones Generales","23/07/23","1","10","A","PACMA","2",",48661800486618004866180048661800486618"
"2023","Elecciones Generales","23/07/23","1","10","A","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","10","A","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","10","A","VOX","54","13,13868613138686131386861313868613138686"
